id,stack_id,name,rowrange,depth,stackdesignation_id,stackdesignationpriority,maxheight,deletedon
2350909,2350905,712-4,"[18300,24400)",0,18313050,0,,
2350912,2350905,712-7,"[36600,42700)",0,18313050,0,,
2351251,2351245,119-5,"[24400,30500)",0,,0,,
2351252,2351245,119-6,"[30500,36600)",0,,0,,
2351469,2351463,141-12,"[67100,73200)",0,,0,,
2351255,2351245,119-9,"[48800,54900)",0,,0,,
2351257,2351245,119-11,"[61000,67100)",0,,0,,
2351377,2351371,131-10,"[54900,61000)",0,16536109,0,,
2351919,2351910,233-4,"[48800,54900)",0,14603574,0,,
3280772,2351470,142-6,"[30500,36600)",0,14786731,0,,
2351260,2351259,120-1,"[0,6100)",0,14857146,0,,
2351319,2351316,125-6,"[30500,36600)",0,,0,,
2351323,2351316,125-10,"[54900,61000)",0,,0,,
2351324,2351316,125-11,"[61000,67100)",0,,0,,
2351325,2351316,125-12,"[67100,73200)",0,,0,,
2351262,2351259,120-3,"[12200,18300)",0,14857146,0,,
2351264,2351259,120-5,"[24400,30500)",0,14857146,0,,
2351981,2351976,800-11,"[24400,30500)",0,2985808,0,,
2351266,2351259,120-7,"[36600,42700)",0,14857146,0,,
2351268,2351259,120-9,"[48800,54900)",0,14857146,0,,
2351270,2351259,120-11,"[61000,67100)",0,14857146,0,,
2351392,2351390,133-6,"[30500,36600)",0,,0,,
2351398,2351390,133-12,"[67100,73200)",0,,0,,
2352061,2352058,983-8,"[12200,18300)",0,13818559,0,,
2352066,2352058,983-3,"[42700,48800)",0,13818559,0,,
2352068,2352058,983-1,"[54900,61000)",0,13818559,0,,
2352071,2352069,984-9,"[6100,12200)",0,13818559,0,,
2352073,2352069,984-7,"[18300,24400)",0,13818559,0,,
2352077,2352069,984-3,"[42700,48800)",0,13818559,0,,
2352082,2352080,985-9,"[6100,12200)",0,13818559,0,,
2352086,2352080,985-5,"[30500,36600)",0,13818559,0,,
2352090,2352080,985-1,"[54900,61000)",0,13818559,0,,
2351289,2351285,122-6,"[30500,36600)",0,,0,,
2351294,2351285,122-11,"[61000,67100)",0,,0,,
2351295,2351285,122-12,"[67100,73200)",0,,0,,
2351291,2351285,122-8,"[42700,48800)",0,,0,,
2351290,2351285,122-7,"[36600,42700)",0,,0,,
2351389,2351380,132-12,"[67100,73200)",0,16548862,0,,
2350889,2350888,710-1,"[0,6100)",0,18313050,0,,
2350890,2350888,710-2,"[6100,12200)",0,18313050,0,,
2350892,2350888,710-4,"[18300,24400)",0,18313050,0,,
2350893,2350888,710-5,"[24400,30500)",0,18313050,0,,
2351595,2351592,207-11,"[6100,12200)",0,,0,,
2350894,2350888,710-6,"[30500,36600)",0,18313050,0,,
2351597,2351592,207-9,"[18300,24400)",0,,0,,
2351599,2351592,207-7,"[30500,36600)",0,,0,,
2351601,2351592,207-5,"[42700,48800)",0,,0,,
2351361,2351353,129-12,"[67100,73200)",0,,0,,
2352134,2352133,E,"[0,5000)",0,6459325,0,,
2352099,2352091,986-3,"[42700,48800)",0,14069767,0,,
2352027,2352026,RP12-1,"[0,6100)",0,,0,,
2352028,2352026,RP12-2,"[6100,12200)",0,,0,,
2352030,2352029,RP13-1,"[0,6100)",0,,0,,
2352031,2352029,RP13-2,"[6100,12200)",0,,0,,
2352033,2352032,RP14-1,"[0,6100)",0,,0,,
2352034,2352032,RP14-2,"[6100,12200)",0,,0,,
2352100,2352091,986-2,"[48800,54900)",0,14069767,0,,
2351801,2351790,222-3,"[54900,61000)",0,14606561,0,,
2351298,2351296,123-4,"[18300,24400)",0,,0,,
2351299,2351296,123-5,"[24400,30500)",0,,0,,
2351363,2351362,130-5,"[24400,30500)",0,15233789,0,,
2351366,2351362,130-8,"[42700,48800)",0,15236944,0,,
2351367,2351362,130-9,"[48800,54900)",0,15429230,0,,
2351364,2351362,130-6,"[30500,36600)",0,,0,,
2351368,2351362,130-10,"[54900,61000)",0,15429230,0,,
2351297,2351296,123-3,"[12200,18300)",0,16158812,0,,
2352136,2352135,Cr1,"[0,5000)",0,12194899,0,,
2352132,2352131,D,"[0,5000)",0,2434279,0,,
2351301,2351296,123-7,"[36600,42700)",0,12423331,0,,
2387713,2387709,MT-Transfer,"[0,3000)",0,,0,,
2352145,2352144,CarrierParking,"[0,5000)",0,,0,,
2351300,2351296,123-6,"[30500,36600)",0,,0,,
2351302,2351296,123-8,"[42700,48800)",0,,0,,
2352105,2352103,987-9,"[6100,12200)",0,14611706,0,,
2352106,2352103,987-8,"[12200,18300)",0,14611706,0,,
2352107,2352103,987-7,"[18300,24400)",0,14611706,0,,
2352108,2352103,987-6,"[24400,30500)",0,14611706,0,,
2351365,2351362,130-7,"[36600,42700)",0,,0,,
2351369,2351362,130-11,"[61000,67100)",0,,0,,
2351370,2351362,130-12,"[67100,73200)",0,,0,,
2352109,2352103,987-5,"[30500,36600)",0,14611706,0,,
2352111,2352103,987-3,"[42700,48800)",0,14611706,0,,
2352138,2352137,Cr2,"[0,5000)",0,14705849,0,,
2351292,2351285,122-9,"[48800,54900)",0,17488140,0,,
2351293,2351285,122-10,"[54900,61000)",0,17488140,0,,
2352130,2352129,C,"[0,5000)",0,17489036,0,,
2351840,2351831,226-4,"[48800,54900)",0,,0,,
2351841,2351831,226-3,"[54900,61000)",0,,0,,
2351845,2351842,227-10,"[12200,18300)",0,,0,,
2351846,2351842,227-9,"[18300,24400)",0,,0,,
2351849,2351842,227-6,"[36600,42700)",0,,0,,
2351850,2351842,227-5,"[42700,48800)",0,,0,,
2350908,2350905,712-3,"[12200,18300)",0,18313050,0,,
2351779,2351777,221-11,"[6100,12200)",0,18389855,0,,
2351400,2351399,134-5,"[24400,30500)",0,14069720,0,,
2351402,2351399,134-7,"[36600,42700)",0,14069720,0,,
2351702,2351698,215-9,"[18300,24400)",0,15240975,0,,
2351141,2351140,111-1,"[0,6100)",0,14553718,0,,
2351686,2351685,214-12,"[0,6100)",0,12367494,0,,
2351688,2351685,214-10,"[12200,18300)",0,12367494,0,,
2351145,2351140,111-5,"[24400,30500)",0,14553718,0,,
2351147,2351140,111-7,"[36600,42700)",0,14553718,0,,
2351149,2351140,111-9,"[48800,54900)",0,14553718,0,,
2351714,2351711,216-10,"[12200,18300)",0,14557110,0,,
2351716,2351711,216-8,"[24400,30500)",0,14557110,0,,
2351827,2351817,224-3,"[54900,61000)",0,12907206,0,,
2351828,2351817,224-2,"[61000,67100)",0,12907206,0,,
2351690,2351685,214-8,"[24400,30500)",0,12367494,0,,
2351718,2351711,216-6,"[36600,42700)",0,14557110,0,,
2351720,2351711,216-4,"[48800,54900)",0,14557110,0,,
2351722,2351711,216-2,"[61000,67100)",0,14557110,0,,
2351712,2351711,216-12,"[0,6100)",0,14587303,0,,
2351799,2351790,222-5,"[42700,48800)",0,14606561,0,,
2351802,2351790,222-2,"[61000,67100)",0,14606561,0,,
2351708,2351698,215-3,"[54900,61000)",0,15240975,0,,
2351803,2351790,222-1,"[67100,73200)",0,14606561,0,,
2351409,2351408,135-5,"[24400,30500)",0,15430043,0,,
2352112,2352103,987-2,"[48800,54900)",0,14611706,0,,
2352113,2352103,987-1,"[54900,61000)",0,14611706,0,,
2351692,2351685,214-6,"[36600,42700)",0,12367494,0,,
2351694,2351685,214-4,"[48800,54900)",0,12367494,0,,
2351780,2351777,221-10,"[12200,18300)",0,18389855,0,,
2351696,2351685,214-2,"[61000,67100)",0,12367494,0,,
2351786,2351777,221-4,"[48800,54900)",0,18389855,0,,
2351787,2351777,221-3,"[54900,61000)",0,18389855,0,,
2351805,2351804,223-12,"[0,6100)",0,,0,,
2351806,2351804,223-11,"[6100,12200)",0,,0,,
2351807,2351804,223-10,"[12200,18300)",0,,0,,
2351808,2351804,223-9,"[18300,24400)",0,,0,,
2351809,2351804,223-8,"[24400,30500)",0,,0,,
2351810,2351804,223-7,"[30500,36600)",0,,0,,
2351811,2351804,223-6,"[36600,42700)",0,,0,,
2351813,2351804,223-4,"[48800,54900)",0,,0,,
2351815,2351804,223-2,"[61000,67100)",0,,0,,
2351816,2351804,223-1,"[67100,73200)",0,,0,,
2351528,2351527,202-12,"[0,6100)",0,,0,,
2351994,2351993,RP1-1,"[0,6100)",0,,0,,
2351995,2351993,RP1-2,"[6100,12200)",0,,0,,
2351530,2351527,202-10,"[12200,18300)",0,,0,,
2351997,2351996,RP2-1,"[0,6100)",0,,0,,
2351532,2351527,202-8,"[24400,30500)",0,,0,,
2351998,2351996,RP2-2,"[6100,12200)",0,,0,,
2352000,2351999,RP3-1,"[0,6100)",0,,0,,
2352001,2351999,RP3-2,"[6100,12200)",0,,0,,
2351534,2351527,202-6,"[36600,42700)",0,,0,,
2351536,2351527,202-4,"[48800,54900)",0,,0,,
2351538,2351527,202-2,"[61000,67100)",0,,0,,
2350984,2350982,99-2,"[6100,12200)",0,,0,,
2351833,2351831,226-11,"[6100,12200)",0,,0,,
2351837,2351831,226-7,"[30500,36600)",0,,0,,
2351838,2351831,226-6,"[36600,42700)",0,,0,,
2351839,2351831,226-5,"[42700,48800)",0,,0,,
2351856,2351853,228-10,"[12200,18300)",0,,0,,
2351857,2351853,228-9,"[18300,24400)",0,,0,,
2351858,2351853,228-8,"[24400,30500)",0,,0,,
2351859,2351853,228-7,"[30500,36600)",0,,0,,
2352003,2352002,RP4-1,"[0,6100)",0,,0,,
2351143,2351140,111-3,"[12200,18300)",0,14030613,0,,
2351144,2351140,111-4,"[18300,24400)",0,14030613,0,,
2351148,2351140,111-8,"[42700,48800)",0,,0,,
2351146,2351140,111-6,"[30500,36600)",0,,0,,
2351851,2351842,227-4,"[48800,54900)",0,,0,,
2351142,2351140,111-2,"[6100,12200)",0,,0,,
2351304,2351296,123-10,"[54900,61000)",0,15238110,0,,
2351931,2351929,235-11,"[6100,12200)",0,,0,,
2350884,2350880,709-4,"[18300,24400)",0,18313050,0,,
2350887,2350880,709-7,"[36600,42700)",0,18313050,0,,
2351674,2351672,213-11,"[6100,12200)",0,16563335,0,,
2350895,2350888,710-7,"[36600,42700)",0,18313050,0,,
2351832,2351831,226-12,"[0,6100)",0,,0,,
2350898,2350896,711-1,"[0,6100)",0,18313050,0,,
2352050,2352047,982-8,"[12200,18300)",0,14069767,0,,
2351676,2351672,213-9,"[18300,24400)",0,16563335,0,,
2352054,2352047,982-4,"[36600,42700)",0,14069767,0,,
2351678,2351672,213-7,"[30500,36600)",0,16563335,0,,
2350899,2350896,711-2,"[6100,12200)",0,18313050,0,,
2351680,2351672,213-5,"[42700,48800)",0,16563335,0,,
2351418,2351417,136-5,"[24400,30500)",0,12280027,0,,
2351419,2351417,136-6,"[30500,36600)",0,12280027,0,,
2351682,2351672,213-3,"[54900,61000)",0,16563335,0,,
2350920,2350913,713-7,"[36600,42700)",0,18313050,0,,
2350928,2350921,714-7,"[36600,42700)",0,18313050,0,,
2350946,2350945,717-1,"[0,6100)",0,18313050,0,,
2351905,2351898,232-7,"[30500,36600)",0,,0,,
2351684,2351672,213-1,"[67100,73200)",0,16563335,0,,
2350947,2350945,717-2,"[6100,12200)",0,18313050,0,,
2351154,2351153,112-1,"[0,6100)",0,16802800,0,,
2351982,2351976,800-10,"[30500,36600)",0,,0,,
2351155,2351153,112-2,"[6100,12200)",0,16802800,0,,
2351420,2351417,136-7,"[36600,42700)",0,12280027,0,,
2351421,2351417,136-8,"[42700,48800)",0,12280027,0,,
2352056,2352047,982-2,"[48800,54900)",0,14069767,0,,
2351413,2351408,135-9,"[48800,54900)",0,15430043,0,,
2352092,2352091,986-10,"[0,6100)",0,14069767,0,,
2351156,2351153,112-3,"[12200,18300)",0,16802800,0,,
2351422,2351417,136-9,"[48800,54900)",0,12283244,0,,
2351423,2351417,136-10,"[54900,61000)",0,12283244,0,,
2352098,2352091,986-4,"[36600,42700)",0,14069767,0,,
2352141,2352139,Cr3,"[0,5000)",0,14705901,0,,
2351157,2351153,112-4,"[18300,24400)",0,16802800,0,,
2351410,2351408,135-6,"[30500,36600)",0,,0,,
2351303,2351296,123-9,"[48800,54900)",0,,0,,
2351834,2351831,226-10,"[12200,18300)",0,,0,,
2351835,2351831,226-9,"[18300,24400)",0,,0,,
2351852,2351842,227-3,"[54900,61000)",0,,0,,
2350998,2350995,100-3,"[12200,18300)",0,,0,,
2351415,2351408,135-11,"[61000,67100)",0,,0,,
2351158,2351153,112-5,"[24400,30500)",0,16802800,0,,
2351159,2351153,112-6,"[30500,36600)",0,16802800,0,,
2350999,2350995,100-4,"[18300,24400)",0,,0,,
2350938,2350937,716-1,"[0,6100)",0,15699829,0,,
2350939,2350937,716-2,"[6100,12200)",0,15699829,0,,
2350944,2350937,716-7,"[36600,42700)",0,15699829,0,,
2351002,2350995,100-7,"[36600,42700)",0,15726452,0,,
2351003,2350995,100-8,"[42700,48800)",0,15726452,0,,
2351160,2351153,112-7,"[36600,42700)",0,16802800,0,,
2351305,2351296,123-11,"[61000,67100)",0,,0,,
2351306,2351296,123-12,"[67100,73200)",0,,0,,
2351161,2351153,112-8,"[42700,48800)",0,16802800,0,,
2351162,2351153,112-9,"[48800,54900)",0,16802800,0,,
2351163,2351153,112-10,"[54900,61000)",0,16802800,0,,
2351875,2351865,229-3,"[54900,61000)",0,12711028,0,,
2351164,2351153,112-11,"[61000,67100)",0,16802800,0,,
2351165,2351153,112-12,"[67100,73200)",0,16802800,0,,
2351836,2351831,226-8,"[24400,30500)",0,,0,,
2351843,2351842,227-12,"[0,6100)",0,,0,,
2351844,2351842,227-11,"[6100,12200)",0,,0,,
2351854,2351853,228-12,"[0,6100)",0,,0,,
2351855,2351853,228-11,"[6100,12200)",0,,0,,
2351860,2351853,228-6,"[36600,42700)",0,,0,,
2351861,2351853,228-5,"[42700,48800)",0,,0,,
2351866,2351865,229-12,"[0,6100)",0,12711314,0,,
2351006,2350995,100-11,"[61000,67100)",0,16039254,0,,
2351908,2351898,232-4,"[48800,54900)",0,12277870,0,,
2351877,2351876,230-12,"[0,6100)",0,,0,,
2351878,2351876,230-11,"[6100,12200)",0,,0,,
2351867,2351865,229-11,"[6100,12200)",0,12711314,0,,
2351934,2351929,235-8,"[24400,30500)",0,,0,,
2351411,2351408,135-7,"[36600,42700)",0,,0,,
2351412,2351408,135-8,"[42700,48800)",0,,0,,
2351414,2351408,135-10,"[54900,61000)",0,,0,,
2351888,2351887,231-12,"[0,6100)",0,14069806,0,,
2351889,2351887,231-11,"[6100,12200)",0,14069806,0,,
2351862,2351853,228-4,"[48800,54900)",0,,0,,
2351863,2351853,228-3,"[54900,61000)",0,,0,,
2351879,2351876,230-10,"[12200,18300)",0,,0,,
2351880,2351876,230-9,"[18300,24400)",0,,0,,
2351881,2351876,230-8,"[24400,30500)",0,,0,,
2351883,2351876,230-6,"[36600,42700)",0,,0,,
2351901,2351898,232-10,"[12200,18300)",0,,0,,
2352110,2352103,987-4,"[36600,42700)",0,14611706,0,,
2351424,2351417,136-11,"[61000,67100)",0,12734261,0,,
2351425,2351417,136-12,"[67100,73200)",0,12734261,0,,
2351890,2351887,231-10,"[12200,18300)",0,14069806,0,,
2351891,2351887,231-9,"[18300,24400)",0,14069806,0,,
2351892,2351887,231-8,"[24400,30500)",0,14069806,0,,
2351893,2351887,231-7,"[30500,36600)",0,14069806,0,,
2352123,2352114,988-2,"[48800,54900)",0,,0,,
2351433,2351426,137-11,"[61000,67100)",0,,0,,
2351434,2351426,137-12,"[67100,73200)",0,,0,,
2351894,2351887,231-6,"[36600,42700)",0,14069806,0,,
2351895,2351887,231-5,"[42700,48800)",0,14069806,0,,
2351427,2351426,137-5,"[24400,30500)",0,,0,,
2351430,2351426,137-8,"[42700,48800)",0,,0,,
2351628,2351619,209-4,"[48800,54900)",0,14069903,0,,
2351630,2351619,209-2,"[61000,67100)",0,14069903,0,,
2352116,2352114,988-9,"[6100,12200)",0,16536501,0,,
2351428,2351426,137-6,"[30500,36600)",0,,0,,
2352120,2352114,988-5,"[30500,36600)",0,16536501,0,,
2352122,2352114,988-3,"[42700,48800)",0,16536501,0,,
2351673,2351672,213-12,"[0,6100)",0,16563335,0,,
2351429,2351426,137-7,"[36600,42700)",0,,0,,
2351675,2351672,213-10,"[12200,18300)",0,16563335,0,,
2351431,2351426,137-9,"[48800,54900)",0,,0,,
2351432,2351426,137-10,"[54900,61000)",0,,0,,
2351677,2351672,213-8,"[24400,30500)",0,16563335,0,,
2351679,2351672,213-6,"[36600,42700)",0,16563335,0,,
2351681,2351672,213-4,"[48800,54900)",0,16563335,0,,
2351683,2351672,213-2,"[61000,67100)",0,16563335,0,,
2352006,2352005,RP5-1,"[0,6100)",0,16582276,0,,
2352007,2352005,RP5-2,"[6100,12200)",0,16582276,0,,
2352012,2352011,RP7-1,"[0,6100)",0,16582276,0,,
2352013,2352011,RP7-2,"[6100,12200)",0,16582276,0,,
2352015,2352014,RP8-1,"[0,6100)",0,16582276,0,,
2351906,2351898,232-6,"[36600,42700)",0,12277870,0,,
2352016,2352014,RP8-2,"[6100,12200)",0,16582276,0,,
2352018,2352017,RP9-1,"[0,6100)",0,16582276,0,,
2352019,2352017,RP9-2,"[6100,12200)",0,16582276,0,,
2352021,2352020,RP10-1,"[0,6100)",0,16582276,0,,
2352022,2352020,RP10-2,"[6100,12200)",0,16582276,0,,
2352024,2352023,RP11-1,"[0,6100)",0,16582276,0,,
2352025,2352023,RP11-2,"[6100,12200)",0,16582276,0,,
2351236,2351232,118-4,"[18300,24400)",0,16802700,0,,
2351238,2351232,118-6,"[30500,36600)",0,16802700,0,,
2351240,2351232,118-8,"[42700,48800)",0,16802700,0,,
2351242,2351232,118-10,"[54900,61000)",0,16802700,0,,
2351244,2351232,118-12,"[67100,73200)",0,16802700,0,,
2351448,2351444,139-8,"[42700,48800)",0,16802733,0,,
2351436,2351435,138-5,"[24400,30500)",0,17504364,0,,
2351437,2351435,138-6,"[30500,36600)",0,17504364,0,,
2351438,2351435,138-7,"[36600,42700)",0,17504364,0,,
2351464,2351463,141-7,"[36600,42700)",0,,0,,
2351465,2351463,141-8,"[42700,48800)",0,,0,,
2351474,2351470,142-10,"[54900,61000)",0,12279616,0,,
2351475,2351470,142-11,"[61000,67100)",0,12279616,0,,
2351778,2351777,221-12,"[0,6100)",0,18389855,0,,
2351781,2351777,221-9,"[18300,24400)",0,18389855,0,,
2351782,2351777,221-8,"[24400,30500)",0,18389855,0,,
2351004,2350995,100-9,"[48800,54900)",0,,0,,
2351476,2351470,142-12,"[67100,73200)",0,12279616,0,,
2351005,2350995,100-10,"[54900,61000)",0,,0,,
2351783,2351777,221-7,"[30500,36600)",0,18389855,0,,
2351784,2351777,221-6,"[36600,42700)",0,18389855,0,,
2351466,2351463,141-9,"[48800,54900)",0,,0,,
2351467,2351463,141-10,"[54900,61000)",0,,0,,
