id,stack_id,rowrange,depth,heightrange,terminalstopoveraction_id,put_handling_id,put_correction_id,pull_handling_id,pull_correction_id,yardmovehandling_id,container_number,container_relative_marker_position,container_height,marker_id,reachstacker_moves,crane_moves,locationinformation_id,straddlecarrier_moves
3194237,2351500,"[6102,19818)",0,"[2621,5242)",3168363,,3194235,3168360,,,,1,0,,0,0,3194236,0
3185833,2352080,"[36602,48794)",0,"[0,2926)",3123197,,3185831,,3561140,,,1,0,,0,0,3185832,0
3275973,2352135,"[0,1)",0,"[0,1)",3234676,3234671,,3275972,,,,1,0,,0,0,3275974,0
8281589,2387709,"[0,1)",0,"[0,1)",8223917,8238361,,8223914,,,,1,0,,0,0,8281588,0
4139306,2351513,"[24406,36598)",0,"[5792,8688)",3101184,4139291,,5126165,,,,1,0,,0,0,4139305,0
4159034,2351034,"[2,12194)",0,"[5792,8688)",3105661,4159016,,5381800,,,,1,0,,0,0,4159033,0
4131104,2351999,"[6102,12198)",0,"[0,2621)",3167798,4131068,,,4674048,,,1,0,,0,0,4131103,0
3336562,2352137,"[0,1)",0,"[0,1)",3128674,3128670,,3336561,,,,1,0,,0,0,3336563,0
6005454,2352137,"[0,1)",0,"[0,1)",3107338,5956354,,3107343,,,,1,0,,0,0,6005455,0
4143460,2351579,"[24406,36598)",0,"[0,2896)",3199826,4143433,,,6515818,,,1,0,,1,1,4143459,1
3185353,2351698,"[48802,62518)",0,"[0,2621)",3110188,,3185351,3110193,,,,1,0,,0,0,3185352,0
3647292,2352135,"[0,1)",0,"[0,1)",3124931,3124927,,3647291,,,,1,0,,0,0,3647293,0
3390046,2352137,"[0,1)",0,"[0,1)",3127632,3127628,,3390045,,,,1,0,,0,0,3390047,0
7102127,2351316,"[24402,36594)",0,"[2896,5517)",3213625,7101847,,7230988,,,,1,0,,0,0,7102126,0
4153627,2351764,"[67102,73198)",0,"[0,2621)",3205079,4153604,,,6515822,,,1,0,,0,0,4153626,0
4125549,2351976,"[18302,30494)",0,"[0,2896)",3163080,4125494,,,9262336,,,1,0,,0,0,4125548,0
3672158,2352135,"[0,1)",0,"[0,1)",3128757,3128753,,3672157,,,,1,0,,0,0,3672159,0
3185720,2351417,"[48802,54898)",0,"[0,2621)",3119579,,3185718,3119576,,,,1,0,,0,0,3185719,0
4134388,2351463,"[54902,60998)",0,"[2621,5242)",3222223,4134378,,6192267,,,,1,0,,0,0,4134387,0
